platform;game;date;category
3;2248;1306368000;0
6;1881;1378944000;0
6;1977;1364342400;0
36;1976;1369180800;0
92;2042;1295913600;0
46;2050;1380499200;0
38;1793;1213660800;0
41;2241;1374796800;0
6;1990;1263168000;0
4;2328;945388800;0
6;2357;1241136000;0
6;2438;1228780800;0
39;1983;1346284800;0
41;2351;1365033600;0
12;2049;1411516800;0
14;2291;1343088000;0
48;1971;1458604800;0
13;2378;838771200;0
8;2059;1134000000;0
48;1962;1493942400;0
46;2066;1329264000;0
6;2536;1373241600;0
37;2349;1322956800;0
9;1790;1356998400;2
12;2031;1400544000;0
14;2126;1425945600;0
39;1905;1521072000;0
9;1978;1291680000;0
20;1825;1256688000;0
6;2005;1370304000;0
39;1890;1383782400;0
6;1902;1535414400;0
39;1984;1363046400;0
34;1905;1532390400;0
14;2351;1373500800;0
7;1843;985651200;0
48;2058;1434412800;0
6;1905;1500940800;0
39;1854;1300320000;0
6;2263;1209945600;0
6;2024;1247097600;0
6;2019;1314662400;0
6;2058;1376352000;0
48;2114;1457395200;0
130;2136;1518739200;0
5;2272;1200960000;0
12;2444;1254441600;0
49;2066;1488844800;0
5;2258;1163894400;0
14;2251;1314748800;0
8;2265;1288051200;0
6;1910;1378252800;0
14;1910;1427760000;0
9;1867;1298592000;0
13;2399;883526400;2
6;1845;968371200;0
9;2437;1292457600;0
13;2400;915062400;2
39;2065;1337990400;0
6;1993;876441600;0
48;1880;1577750400;2
34;2035;1287100800;0
9;1832;1364256000;0
6;1988;851990400;2
6;2043;1253232000;0
6;2073;1288224000;0
46;2153;1348531200;0
6;2155;1345680000;0
12;1983;1311120000;0
6;2010;1280448000;0
6;1995;996537600;0
12;2115;1396915200;0
6;1983;1360800000;0
39;1817;;7
6;1871;1355184000;0
13;2535;915062400;2
14;2365;1122940800;0
12;2355;1317772800;0
23;2237;943056000;0
52;2159;1275609600;0
4;2327;913593600;0
49;2137;1417478400;0
49;1912;1539043200;0
6;1978;1291680000;0
11;1971;1082419200;0
14;1990;1263168000;0
6;1836;1193702400;0
5;2190;1257206400;0
36;1891;1342742400;0
12;2449;1392076800;0
6;2136;1491868800;0
9;2174;1353024000;0
3;1990;1311638400;0
14;1878;1427932800;0
20;2192;1252368000;0
8;2215;1226448000;0
8;1793;1213660800;0
34;2065;1349308800;0
14;1882;1378771200;0
8;1966;1047600000;0
48;1882;1479772800;0
49;1882;1538092800;0
3;1882;1378771200;0
48;1908;1468886400;0
92;2129;1378857600;0
6;2015;1248998400;0
6;2045;1202774400;0
13;2425;883526400;2
49;2117;1553644800;0
48;2066;1480723200;0
47;2342;1169683200;0
5;2266;1252368000;0
5;2254;1191456000;0
13;2167;820368000;2
5;2370;1196380800;0
39;2175;1380758400;0
9;2265;1288051200;0
9;2207;1316649600;0
36;2188;1372204800;0
7;2361;974246400;0
74;1879;1410480000;0
45;1891;1340150400;0
13;2225;820368000;2
13;2226;820368000;2
22;2447;991180800;0
6;2352;1294876800;0
11;2054;1142553600;0
24;2319;1132185600;0
48;1911;1553558400;0
37;2153;1348876800;0
45;1870;1338940800;0
6;2498;1389312000;0
24;1967;1110844800;0
48;2112;1465257600;0
13;2230;820368000;2
14;2274;1532131200;0
50;2167;820368000;2
41;2050;1380499200;0
49;1968;1392681600;0
3;1880;1411776000;0
3;2130;1387238400;0
20;1978;1291680000;0
8;1972;1193616000;0
49;2004;1488240000;0
6;2137;1417478400;0
6;1843;936057600;0
21;1851;1126137600;0
46;1918;1384214400;0
6;2039;1286496000;0
92;2067;1312243200;0
39;1816;1421884800;0
21;1863;1042070400;0
24;2277;1163462400;0
12;2284;1314748800;0
9;2249;1278979200;0
92;2073;1288656000;0
92;1915;1287100800;0
6;1837;1256601600;0
37;2050;1380499200;0
3;2358;1424822400;0
13;2536;899510400;0
9;1828;1362096000;1
6;1851;1140048000;0
6;1863;1022803200;0
6;2046;1367366400;0
12;2047;1366761600;0
6;2014;1231718400;0
21;2240;1083196800;0
49;2176;1514678400;2
6;2283;1072828800;2
3;2450;1104451200;2
5;2265;1288051200;0
3;2243;1206316800;0
49;1943;1483142400;2
49;2025;1473984000;0
3;2346;1399852800;0
6;2534;1415232000;0
13;2537;915062400;2
12;1939;1410220800;0
6;2360;1287360000;0
8;2054;1142812800;0
46;1983;1449273600;0
14;2359;1409702400;0
6;2165;1482278400;0
11;2482;1142899200;0
12;1828;1362096000;1
49;2033;1385078400;0
9;2468;1274140800;0
13;2471;915062400;2
8;2207;1129593600;0
9;2192;1252368000;0
45;2207;1317081600;0
6;2346;1394582400;0
5;2468;1274140800;0
6;2474;875577600;0
11;1870;1094169600;0
11;2143;1034812800;0
8;2144;1111363200;0
12;1961;1206316800;0
49;1877;1586995200;0
12;1985;1441065600;0
23;2361;974246400;0
14;2450;1104451200;2
38;1791;1171324800;0
48;1877;1586995200;0
3;2029;1424822400;0
6;2469;915062400;2
6;2066;1488844800;0
32;1992;851904000;0
130;2049;1560988800;0
9;1795;1256601600;0
9;1794;1219276800;0
92;2539;1275004800;0
9;2126;1425945600;0
34;1805;1394668800;0
