id;name;aggregated_rating;first_release_date
535;WildStar;80.2;1401753600
536;Dead Island;69.875;1315267200
537;Assassin's Creed: Revelations;81.7142857142857;1321228800
538;Bioshock Infinite;93.2142857142857;1361836800
539;Metro: Last Light;79.9;1368489600
540;Disney Universe;64.6666666666667;1319500800
541;Ridge Racer Unbounded;75.8;1332806400
542;Lego Pirates of the Caribbean;70.6;1304985600
543;Call of Juarez: The Cartel;50.8333333333333;1311033600
544;The Darkness II;76.6363636363636;1328572800
545;Call of Duty: Black Ops;81.4166666666667;1289260800
546;Prey;76.75;1152576000
547;Gears of War;83.75;1162857600
548;Gears of War 2;90.4;1226016000
549;God of War;93.3333333333333;1111449600
550;God of War: Ghost of Sparta;91.0;1288656000
551;God of War II;92.75;1173744000
552;God of War: Chains of Olympus;87.5;1204588800
553;Spider-Man: Shattered Dimensions;74.0;1283817600
554;Driver: San Francisco;81.5;1314921600
555;Transformers: War for Cybertron;70.7777777777778;1277164800
556;Medal of Honor;74.4444444444444;1286841600
557;Prison Break: The Conspiracy;31.6666666666667;1269561600
558;Just Cause 2;85.0;1269302400
559;Call of Duty: Modern Warfare 2;94.375;1257033600
560;Aliens vs. Predator;74.0;1266278400
561;Colin McRae: Dirt 2;79.0;1252368000
562;Tom Clancy's Splinter Cell: Conviction;85.2;1271116800
563;Aion;80.0;1247788800
564;Rogue Warrior;54.0;1259193600
565;Uncharted 2: Among Thieves;95.375;1246320000
566;Ghostbusters: The Video Game;69.8571428571429;1245110400
567;Fuel;76.25;1243900800
568;Marvel: Ultimate Alliance 2;67.5;1252972800
569;Wolfenstein;81.0;1250553600
570;Prototype;78.375;1244505600
571;Singularity;79.8;1245888000
572;ArmA 2;0.0;1245196800
573;X-Men Origins: Wolverine;71.6666666666667;1241136000
574;Eat Lead: The Return of Matt Hazard;46.25;1235606400
575;The Godfather II;65.0;1239062400
576;DC Universe Online;73.7142857142857;1294704000
578;Warhammer 40,000: Space Marine;78.0;1315267200
582;101 Airborne: The Airborne Invasion of Normandy;;907113600
583;2002 FIFA World Cup;67.0;1019433600
584;4x4 Evolution;80.0;972777600
585;688(I) Hunter/Killer;;867974400
586;Abuse;86.0;825552000
587;Act of War: Direct Action;80.0;1110844800
589;Age of Wonders;90.0;941328000
590;Age of Wonders II: The Wizard's Throne;;1023840000
591;Age of Wonders: Shadow Magic;89.0;1059091200
592;AH-64D Longbow;86.0;833500800
593;Airstrike II: Gulf Thunder;;1108080000
594;Aliens versus Predator 2;;1003708800
595;Allegiance;;953164800
596;American Conquest;90.0;1044403200
597;America's Army;60.0;1025740800
600;Apache;91.0;807148800
602;Arx Fatalis;77.5;1025222400
603;Asheron's Call;85.0;941500800
604;Bad Mojo;90.0;825552000
605;Baseball Mogul;56.0;867628800
606;Battle Realms;;1005091200
608;Battleground 3: Waterloo;;833500800
609;Battleground 4: Shiloh;;823046400
610;Battleground 5: Antietam;;851990400
611;Battles in Normandy;;1095206400
612;Beneath a Steel Sky;;762480000
613;Battlezone;70.0;888624000
614;Bejeweled 2;53.3333333333333;1099612800
615;Big Kahuna Reef;;1106697600
616;Broken Sword: The Shadow of the Templars;75.0;844041600
617;Brothers in Arms: Earned in Blood;73.0;1128384000
618;Brothers in Arms: Hell's Highway;78.2;1222128000
619;Brothers in Arms: Road to Hill 30;91.5;1109635200
620;Burnout Paradise;93.0;1200960000
621;Call of Duty;86.6666666666667;1067385600
622;Call of Duty 2;84.4;1130198400
623;Call of Duty 4: Modern Warfare;87.8571428571429;1194220800
625;Call of Duty: World at War;80.0;1226361600
626;Carmageddon;;867628800
627;CART Precision Racing;;878342400
628;Championship Manager: Season 03/04;;1069372800
629;Chaos Overlords;;830822400
630;Chessmaster 5000;;820454400
631;Chessmaster 5500;;878256000
632;Chessmaster 6000;;883612800
634;Sid Meier's Civilization II;82.5;825552000
636;Clive Barker's Undying;;982713600
637;Close Combat;;820454400
638;Close Combat III: The Russian Front;;915062400
639;Close Combat: A Bridge Too Far;;875577600
640;Codename: Panzers - Phase One;;1096502400
641;Colin McRae Rally 04;80.0;1080864000
642;Colin McRae Rally 2.0;;962928000
